suburb,lga
abbotsford,Yarra
aberfeldie,Moonee Valley
airport west,Brimbank
albanvale,Brimbank
albert park,Port Phillip
albion,Brimbank
alphington,Darebin
altona,Hobsons Bay
altona meadows,Hobsons Bay
altona north,Hobsons Bay
ardeer,Brimbank
armadale,Stonnington
arthurs creek,Nillumbik
ascot vale,Maribyrnong
ashbourne,Macedon Ranges
ashburton,Boroondara
ashwood,Boroondara
aspendale,Kingston
aspendale gardens,Kingston
attwood,Hume
avondale heights,Moonee Valley
avonsleigh,Cardinia
bacchus marsh,Greater Geelong
badger creek,Murrindindi
balaclava,Glen Eira
balliang east,Greater Geelong
balwyn,Boroondara
balwyn north,Boroondara
bayles,Baw Baw
bayswater,Knox
bayswater north,Knox
beaconsfield,Cardinia
beaconsfield upper,Cardinia
beaumaris,Bayside
belgrave,Yarra Ranges
belgrave heights,Yarra Ranges
belgrave south,Yarra Ranges
bellfield,Banyule
bend of islands,Nillumbik
benloch,Macedon Ranges
bentleigh,Glen Eira
bentleigh east,Glen Eira
berwick,Casey
beveridge,Mitchell
big pats creek,Yarra Ranges
black rock,Bayside
blackburn,Whitehorse
blackburn north,Whitehorse
blackburn south,Whitehorse
blind bight,Cardinia
bolinda,Macedon Ranges
bonbeach,Kingston
boronia,Knox
box hill,Whitehorse
box hill north,Whitehorse
box hill south,Whitehorse
braybrook,Maribyrnong
briar hill,Banyule
brighton,Bayside
brighton east,Bayside
broadford,Mitchell
broadmeadows,Hume
brookfield,Melton
brooklyn,Brimbank
brunswick,Moreland
brunswick east,Moreland
brunswick west,Moreland
bulla,Hume
bulleen,Manningham
bullengarook,Macedon Ranges
bundoora,Banyule
bunyip,Cardinia
burnside,Brimbank
burnside heights,Brimbank
burwood,Monash
burwood east,Whitehorse
cairnlea,Brimbank
camberwell,Boroondara
campbellfield,Hume
canterbury,Boroondara
cardinia,Cardinia
carlsruhe,Macedon Ranges
carlton,Melbourne
carlton north,Melbourne
carnegie,Glen Eira
caroline springs,Brimbank
castella,Murrindindi
catani,Baw Baw
caulfield,Glen Eira
caulfield east,Glen Eira
caulfield north,Glen Eira
caulfield south,Glen Eira
chadstone,Monash
chelsea,Kingston
chelsea heights,Kingston
cheltenham,Bayside
cherokee,Macedon Ranges
chintin,Macedon Ranges
chirnside park,Yarra Ranges
christmas hills,Nillumbik
chum creek,Murrindindi
clarinda,Kingston
clarkefield,Hume
clayton,Monash
clayton south,Kingston
clematis,Cardinia
clifton hill,Moreland
clonbinane,Mitchell
clyde,Cardinia
clyde north,Cardinia
cobaw,Macedon Ranges
cobblebank,Melton
coburg,Moreland
coburg north,Moreland
cockatoo,Cardinia
coimadai,Greater Geelong
coldstream,Yarra Ranges
collingwood,Yarra
coolaroo,Hume
cora lynn,Cardinia
corinella,Bass Coast
coronet bay,Bass Coast
cottles bridge,Nillumbik
craigieburn,Hume
croydon,Maroondah
croydon hills,Maroondah
croydon north,Maroondah
croydon south,Maroondah
dales creek,Moorabool
dallas,Hume
dandenong,Greater Dandenong
dandenong north,Greater Dandenong
dandenong south,Greater Dandenong
darley,Greater Geelong
darraweit guim,Macedon Ranges
deepdene,Boroondara
deer park,Brimbank
delahey,Brimbank
derrimut,Brimbank
dewhurst,Cardinia
diamond creek,Nillumbik
diggers rest,Hume
dingley village,Greater Dandenong
dixons creek,Nillumbik
docklands,Melbourne
don valley,Yarra Ranges
doncaster,Manningham
doncaster east,Manningham
donvale,Manningham
doreen,Nillumbik
doveton,Casey
eaglemont,Banyule
east melbourne,Melbourne
east warburton,Yarra Ranges
eden park,Murrindindi
edithvale,Kingston
elsternwick,Glen Eira
eltham,Banyule
eltham north,Banyule
elwood,Port Phillip
emerald,Cardinia
endeavour hills,Casey
epping,Whittlesea
essendon,Moonee Valley
essendon north,Moonee Valley
essendon west,Moonee Valley
eumemmerring,Casey
exford,Melton
eynesbury,Melton
fairfield,Darebin
fawkner,Hume
ferntree gully,Casey
ferny creek,Yarra Ranges
fitzroy,Yarra
fitzroy north,Moreland
flemington,Melbourne
flowerdale,Mitchell
footscray,Maribyrnong
forest hill,Manningham
gardenvale,Glen Eira
garfield,Cardinia
garfield north,Cardinia
gembrook,Cardinia
gilderoy,Yarra Ranges
gisborne,Macedon Ranges
gisborne south,Macedon Ranges
gladstone park,Brimbank
gladysdale,Yarra Ranges
glen huntly,Glen Eira
glen iris,Boroondara
glen waverley,Monash
glenroy,Moreland
goldie,Macedon Ranges
gowanbrae,Brimbank
grantville,Bass Coast
greendale,Moorabool
greensborough,Banyule
greenvale,Hume
greenvale lakes,Hume
gruyere,Yarra Ranges
guys hill,Cardinia
hadfield,Moreland
hallam,Casey
hampton,Bayside
hampton east,Bayside
hampton park,Casey
harkaway,Casey
harkness,Melton
hawthorn,Boroondara
hawthorn east,Boroondara
hazeldene,Mitchell
healesville,Murrindindi
heathcote junction,Mitchell
heatherton,Kingston
heathmont,Maroondah
heidelberg,Banyule
heidelberg heights,Banyule
heidelberg west,Banyule
hesket,Macedon Ranges
hidden valley,Macedon Ranges
highett,Bayside
hillside,Brimbank
hoddles creek,Yarra Ranges
hopetoun park,Greater Geelong
hoppers crossing,Melton
hughesdale,Monash
humevale,Murrindindi
huntingdale,Monash
hurstbridge,Nillumbik
ivanhoe,Banyule
ivanhoe east,Banyule
jacana,Hume
jam jerrup,Bass Coast
kalkallo,Hume
kallista,Yarra Ranges
kalorama,Yarra Ranges
kangaroo ground,Nillumbik
kealba,Brimbank
keilor,Brimbank
keilor downs,Brimbank
keilor east,Brimbank
keilor lodge,Brimbank
keilor park,Brimbank
kensington,Melbourne
kerrie,Macedon Ranges
kew,Boroondara
kew east,Boroondara
keysborough,Greater Dandenong
kilmore,Mitchell
kilmore east,Mitchell
kilsyth,Maroondah
kilsyth south,Maroondah
kinglake,Murrindindi
kinglake west,Murrindindi
kings park,Brimbank
kingsbury,Banyule
kingsville,Brimbank
